Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1982,1982,kg/ha,7.12,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1983,1983,kg/ha,8.14,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1984,1984,kg/ha,10.74,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1985,1985,kg/ha,12.17,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1986,1986,kg/ha,13.11,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1987,1987,kg/ha,10.38,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1988,1988,kg/ha,15.22,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1989,1989,kg/ha,17.6,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1990,1990,kg/ha,18.37,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1991,1991,kg/ha,19.52,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1992,1992,kg/ha,16.73,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1993,1993,kg/ha,15.68,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1994,1994,kg/ha,17.21,E,Estimated value
